int_n_features,flt_roc_auc_train,flt_roc_auc_valid,flt_roc_auc_test,flt_pr_auc_train,flt_pr_auc_valid,flt_pr_auc_test
12,0.7742142364352096,0.7597440100463584,0.7578085339641186,0.4135345323551084,0.39749736055598095,0.39492335570952497
11,0.7742039284119963,0.7597361119658225,0.7577864254236739,0.41327022242861144,0.3974746675854036,0.39487737872054374
13,0.7742718639665598,0.7596918498061516,0.7578939303111802,0.41321032966037186,0.3973999084258044,0.3950770903203088
14,0.7742639503266913,0.7597308465787984,0.7581546760744412,0.4132656814674483,0.39733216650873704,0.3953305822353731
10,0.7740762550221176,0.7593272217547364,0.7581975430154564,0.41332153902338203,0.3968519610265262,0.3948796993335164
8,0.7702490970333995,0.7580075841318348,0.7572813043431299,0.40998629983585566,0.3921529464462907,0.3927444723954601
9,0.7694371981656588,0.7559004420621493,0.756620579642051,0.4091123066776661,0.39096056294117554,0.392639456369997
7,0.7698593807069518,0.75528307543358,0.7558704081742867,0.402546474498972,0.3824824846975558,0.3884599982651936
6,0.7633190211436223,0.7524140976788528,0.7479650016741736,0.3918130443774167,0.3767842077319253,0.37700712822678684
2,0.7721253804634551,0.7703002883128482,0.7641615327597939,0.3835937697710552,0.37111753787440677,0.36488802560456446
5,0.7589507325189724,0.7471222191763419,0.742089868010326,0.38433405020641764,0.37001472153382936,0.3685219219093665
3,0.7633806054949068,0.7572796443757602,0.7481775643206636,0.3769137753454111,0.36361940945914867,0.35503140639966646
4,0.755910433829796,0.7435376424163782,0.7369493792056857,0.3754120701931595,0.3619399183286224,0.3570896121938447
