int_n_features,flt_roc_auc_train,flt_roc_auc_valid,flt_roc_auc_test,flt_pr_auc_train,flt_pr_auc_valid,flt_pr_auc_test
8,0.8270394464510369,0.7996560550469887,0.7995685290496095,0.54647400515852,0.49438819811245194,0.4959843173318893
13,0.8317604804999796,0.799910192242571,0.7996440524988389,0.5545017180447767,0.49343285482031396,0.4950939488991563
10,0.8316013554644698,0.7994052087182962,0.799819148763812,0.5548428996695822,0.4931146439995681,0.49711428017035075
12,0.8300088064607768,0.8002025857657502,0.7997142597723125,0.5510492506487801,0.49236828691287043,0.4953075155475787
11,0.8311854023781502,0.799965643349668,0.800383422847607,0.5528596575948118,0.4920244640188988,0.4971648713332495
15,0.8312470273122032,0.8001206431801884,0.8004309308944406,0.5527433261490398,0.4918022120279483,0.4975438521546959
14,0.8292193092812791,0.7989696624854007,0.799094461186179,0.5468441939093953,0.49089390808648137,0.4958077703962248
7,0.8240755854064363,0.7986106289076987,0.8006298233747016,0.5398675633176774,0.4907780126113869,0.49545409525770345
9,0.8277865752201615,0.798998293027344,0.8000097716373415,0.545456924242765,0.4904580667452038,0.49833242426817353
6,0.8152125116675459,0.7945073292541941,0.794714016747135,0.5186564457677837,0.4825062010063884,0.481503458766316
5,0.8067962542104623,0.7846162997295236,0.7859388670166229,0.5052575351849876,0.47020618321769503,0.46201979547142147
4,0.8049279047116594,0.780279677613516,0.784686359131806,0.5043505328540064,0.46401722040216975,0.4611488443281409
3,0.7982010267440446,0.7792334287575036,0.7835153659419116,0.48810898646935635,0.4528976796689673,0.44798948957963386
2,0.7890404204374823,0.7758226097693333,0.7734098221325729,0.45779389870090526,0.43097921150408475,0.42299105637584605
